Area,Pre_COVID,COVID_Period,Change_pp,Percentage_Change
Rural,8.094807692307693,16.181313131313132,8.086505439005439,99.89743730033088
Urban,10.842246376811595,19.27638095238095,8.434134575569356,77.78954916213223
